"Name","Position","Zips","Fans","Steamer","Oliver","Rotochamp","Average","Total",,,,,,
"Ruben Tejada","Hitter",444.5,491,396.5,420.5,488,448.1,5,,,,,,
"David Freese","Hitter",375,546,426.5,407,485.5,448,5,,,,,,
"Homer Bailey","Pitcher",440,521,410,461,405,447.4,5,,,,,,
"Chase Utley","Hitter",408,504,382,426,516.5,447.3,5,,,,,,
"Lucas Duda","Hitter",455.5,470.5,347,476.5,486,447.1,5,,,,,,
"Tommy Hanson","Pitcher",452,442,351,483,504,446.4,5,,,,,,
"Ervin Santana","Pitcher",406,457,382,511,473,445.8,5,,,,,,
"Jeff Keppinger","Hitter",395.5,513.5,445.5,428,446,445.7,5,,,,,,
"Cody Ross","Hitter",456.5,494,399,444.5,431,445,5,,,,,,
"Carlos Quentin","Hitter",409,519,392.5,445.5,454,444,5,,,,,,
"Wade Miley","Pitcher",456,460,380,435,489,444,5,,,,,,
"Jason Vargas","Pitcher",408,460,391,497,463,443.8,5,,,,,,
"Zack Cozart","Hitter",471.5,484,350.5,416.5,492.5,443,5,,,,,,
"Jeremy Hellickson","Pitcher",411,491,387,452,474,443,5,,,,,,
"Gavin Floyd","Pitcher",453,447,355,466,494,443,5,,,,,,
"Justin Morneau","Hitter",384,516,407.5,421,483,442.3,5,,,,,,
"Kendrys Morales","Hitter",352.5,549,440.5,390.5,468,440.1,5,,,,,,
"Phil Hughes","Pitcher",399,517,409,424,451,440,5,,,,,,
"Ryan Vogelsong","Pitcher",408,490,402,446,454,440,5,,,,,,
"Gordon Beckham","Hitter",462.5,453.5,384.5,417,476.5,438.8,5,,,,,,
"Craig Kimbrel","Pitcher",291,569,495,281,554,438,5,,,,,,
"Mike Napoli","Hitter",377,496,374,415.5,524.5,437.4,5,,,,,,
"James McDonald","Pitcher",375,516,404,443,444,436.4,5,,,,,,
"Carl Crawford","Hitter",390.5,530,419.5,391,446.5,435.5,5,,,,,,
"Michael Morse","Hitter",374,522,400.5,433,446.5,435.2,5,,,,,,
"Brian McCann","Hitter",457,469,352,482,415,435,5,,,,,,
"Josh Beckett","Pitcher",402,472,374,463,461,434.4,5,,,,,,
"Hiroyuk Nakajima","Hitter",523.5,0,371.5,517.5,325,434.38,4,,,,,,
"Wei-Yin Chen","Pitcher",341,496,415,453,458,432.6,5,,,,,,
"Salvador Perez","Hitter",417,505.5,378.5,463,398.5,432.5,5,,,,,,
"Edinson Volquez","Pitcher",406,464,376,476,439,432.2,5,,,,,,
"Ricky Nolasco","Pitcher",397,447,392,478,444,431.6,5,,,,,,
"Tommy Milone","Pitcher",418,486,419,456,376,431,5,,,,,,
"Aroldis Chapman","Pitcher",459,515,363,264,553,430.8,5,,,,,,
"Delmon Young","Hitter",535,412.5,321,493.5,389.5,430.3,5,,,,,,
"Francisco Liriano","Pitcher",431,463,370,454,431,429.8,5,,,,,,
"Lance Lynn","Pitcher",401,499,390,425,425,428,5,,,,,,
"Jake Peavy","Pitcher",423,508,401,444,361,427.4,5,,,,,,
"Brandon Moss","Hitter",430.5,452,333.5,464.5,451.5,426.4,5,,,,,,
"Mark Buehrle","Pitcher",364,467,368,470,457,425.2,5,,,,,,
"Adam Lind","Hitter",483,435.5,328.5,464.5,413,424.9,5,,,,,,
"Brett Gardner","Hitter",291.5,530,425,359.5,518,424.8,5,,,,,,
