Name,Zips,Fans,Steamer,Oliver,Rotochamp,Average,Total
Brad Holt,116,0,63,156,0,111.66666666666667,3
Andrew Barbosa,0,0,99,217,0,158.0,2
Corey Madden,0,0,78,0,0,78.0,1
Garrett Mock,109,0,98,108,0,105.0,3
Jason Berken,186,0,104,236,0,175.33333333333334,3
Michael Johnson,0,0,86,126,0,106.0,2
Jose Mavare,0,0,82,119,0,100.5,2
Wei-Yin Chen,341,496,415,453,458,432.6,5
Del Howell,0,0,87,0,0,87.0,1
Luis Avilan,208,0,85,214,148,163.75,4
Kyle Lotzkar,210,0,108,179,0,165.66666666666666,3
Jesus Colome,0,0,85,0,0,85.0,1
Connor Hoehn,0,0,60,0,0,60.0,1
Joe Smith,153,0,143,177,155,157.0,4
Luke Bard,0,0,0,101,0,101.0,1
Alberto Bastardo,0,0,99,0,0,99.0,1
Eddie Bonine,0,0,77,121,0,99.0,2
Rick Porcello,394,412,331,403,416,391.2,5
Chad Bettis,0,0,131,340,0,235.5,2
Leondy Perez,0,0,81,194,0,137.5,2
Yohan Pino,242,0,57,0,0,149.5,2
Jose Ascanio,0,0,87,0,0,87.0,1
Matt Buschmann,227,0,89,272,0,196.0,3
Xavier Cedeno,141,0,84,232,167,156.0,4
Nick Additon,0,0,98,289,0,193.5,2
Taylor Jungmann,272,0,285,280,0,279.0,3
Jack Egbert,0,0,75,0,0,75.0,1
Raul Burgos,0,0,58,0,0,58.0,1
Jerry Gil,116,0,0,135,0,125.5,2
Phil Hughes,399,517,409,424,451,440.0,5
Fernando Cabrera,130,0,82,147,0,119.66666666666667,3
Chris Devenski,0,0,86,117,0,101.5,2
Matthew Miller,0,0,90,242,0,166.0,2
Gabriel Arias,0,0,103,154,0,128.5,2
Chris Pack,0,0,87,0,0,87.0,1
Douglas Arguello,0,0,58,0,0,58.0,1
Nick Mutz,0,0,0,44,0,44.0,1
Madison Bumgarner,606,612,539,586,564,581.4,5
Josh Sullivan,118,0,115,144,0,125.66666666666667,3
Felix Romero,0,0,67,0,0,67.0,1
Evan Meek,112,0,81,130,0,107.66666666666667,3
Matthew Mitchell,0,0,105,0,0,105.0,1
Tom Cochran,196,0,98,0,0,147.0,2
Cory Mcginnis,0,0,66,60,0,63.0,2
Ryan Reid,136,0,99,173,0,136.0,3
Nick Maronde,179,0,82,204,0,155.0,3
Shane Bay,0,0,0,16,0,16.0,1
Juan Santiago,0,0,70,0,0,70.0,1
Nick Christiani,127,0,57,129,0,104.33333333333333,3
Robert Nixon,0,0,54,116,0,85.0,2
Michael White,0,0,58,61,0,59.5,2
Kyle Haynes,0,0,0,158,0,158.0,1
Clemente Mendoza,0,0,55,0,0,55.0,1
Paul Phillips,0,0,72,0,0,72.0,1
Donn Roach,239,0,99,192,0,176.66666666666666,3
Mark Melancon,158,0,164,183,191,174.0,4
Victor Marte,128,0,81,137,0,115.33333333333333,3
Angel Nesbitt,0,0,52,71,0,61.5,2
Brian Streilein,0,0,54,0,0,54.0,1
Deivy Estrada,0,0,87,95,0,91.0,2
Carlos Hernandez,0,0,93,259,0,176.0,2
Kable Hogben,0,0,60,120,0,90.0,2
Joe Martinez,238,0,76,289,0,201.0,3
John Cornely,0,0,85,157,0,121.0,2
Jared Wesson,0,0,86,226,0,156.0,2
Brooks Brown,177,0,93,210,0,160.0,3
Rafael Suarez,0,0,54,0,0,54.0,1
Mark Sorensen,0,0,86,0,0,86.0,1
Jason Vargas,408,460,391,497,463,443.8,5
Will Clinard,0,0,82,106,0,94.0,2
Juan Marcano,0,0,73,0,0,73.0,1
Adrian Rosario,0,0,64,148,0,106.0,2
Shane Halley,0,0,0,50,0,50.0,1
Lenny DiNardo,0,0,98,0,0,98.0,1
Andrew Triggs,0,0,73,220,0,146.5,2
Markus Solbach,0,0,0,42,0,42.0,1
Ari Ronick,0,0,63,0,0,63.0,1
Heath Rollins,0,0,51,0,0,51.0,1
Anthony Lerew,0,0,98,0,0,98.0,1
Franicsco Taveras,0,0,84,102,0,93.0,2
Rich Thompson,125,0,88,143,0,118.66666666666667,3
Ricky Brooks,0,0,81,0,0,81.0,1
Hudson Boyd,0,0,84,0,0,84.0,1
Caleb Graham,0,0,78,129,0,103.5,2
Joanniel Montero,0,0,82,60,0,71.0,2
Jeff Ibarra,0,0,79,119,0,99.0,2
David Cales,0,0,0,44,0,44.0,1
Pedro Hernandez,180,0,95,219,0,164.66666666666666,3
Andrew Virgili,0,0,54,0,0,54.0,1
Jorge Lopez,0,0,0,38,0,38.0,1
Jacob Pettit,0,0,91,224,0,157.5,2
Ricardo Betancourt,0,0,0,55,0,55.0,1
Wirfin Obispo,0,0,106,114,0,110.0,2
Bruce Billings,0,0,81,284,0,182.5,2
Robert Bono,0,0,89,0,0,89.0,1
Justin De Fratus,141,0,88,157,44,107.5,4
Diego Moreno,0,0,78,0,0,78.0,1
Jorge Campillo,0,0,105,0,0,105.0,1
Anthony Carter,126,0,81,141,0,116.0,3
Jhoulys Chacin,361,0,313,354,346,343.5,4
John Lamb,51,0,93,101,0,81.66666666666667,3
Stephen Fife,272,0,98,324,0,231.33333333333334,3
Joe Kelly,376,0,197,324,77,243.5,4
Yoshinori Tateyama,125,0,84,163,0,124.0,3
Clint Wright,0,0,0,43,0,43.0,1
Dustin Molleken,0,0,58,0,0,58.0,1
Matt Grace,0,0,86,209,0,147.5,2
Michael Hamann,0,0,0,131,0,131.0,1
Ian Marshall,0,0,75,0,0,75.0,1
Ross Detwiler,296,385,315,340,387,344.6,5
Jay Voss,0,0,55,136,0,95.5,2
Roque Mercedes,0,0,60,0,0,60.0,1
Billy Spottiswood,0,0,75,0,0,75.0,1
Roy Corcoran,0,0,76,0,0,76.0,1
Brayan Villarreal,221,0,110,214,189,183.5,4
Brian Irving,0,0,88,0,0,88.0,1
Luis Morales,0,0,0,23,0,23.0,1
Ivan Vargas,0,0,52,0,0,52.0,1
Greg Larson,0,0,0,107,0,107.0,1
Jorge Montenegro,0,0,0,65,0,65.0,1
Alex Capaul,0,0,51,0,0,51.0,1
Justin Ennis,0,0,57,0,0,57.0,1
Randy Boone,0,0,94,111,0,102.5,2
Matt Reynolds,155,0,98,165,160,144.5,4
Andrei Lobanov,0,0,55,0,0,55.0,1
Rhett Ballard,0,0,58,0,0,58.0,1
Jhon Garcia,0,0,52,116,0,84.0,2
Boomer Potts,0,0,61,0,0,61.0,1
Samuel Solis,0,0,132,251,0,191.5,2
Mike Ballard,0,0,99,0,0,99.0,1
Chasen Bradford,0,0,75,85,0,80.0,2
Leonard Lorenzo,0,0,92,124,0,108.0,2
Tyler Cloyd,327,0,117,383,140,241.75,4
Scott Shaw,0,0,93,0,0,93.0,1
Jon Bachanov,0,0,61,99,0,80.0,2
Brenny Paulino,0,0,0,99,0,99.0,1
Casey Sadler,0,0,97,167,0,132.0,2
Matthew Hobgood,0,0,111,0,0,111.0,1
Tyson Brummett,0,0,79,214,0,146.5,2
Chen-Chang Lee,113,0,82,119,0,104.66666666666667,3
Will Lamb,0,0,89,153,0,121.0,2
Kyle Blair,0,0,75,112,0,93.5,2
Tyler Green,0,0,85,208,0,146.5,2
Jeff Samardzija,502,551,471,379,508,482.2,5
Luis Gonzalez,0,0,92,93,0,92.5,2
Bruedlin Suero,0,0,83,108,0,95.5,2
Joe Dirocco,0,0,0,70,0,70.0,1
Francisco Samuel,0,0,60,0,0,60.0,1
Rey Gonzalez,0,0,81,0,0,81.0,1
William Scott,0,0,85,91,0,88.0,2
Justin Berg,78,0,57,79,0,71.33333333333333,3
Victor Capellan,0,0,60,0,0,60.0,1
Rigoberto Arrebato,0,0,60,0,0,60.0,1
Misual Diaz,0,0,93,0,0,93.0,1
Luis Mendoza,259,0,137,333,170,224.75,4
Rafael Soriano,155,489,409,163,390,321.2,5
Dyllon Nuernberg,0,0,60,0,0,60.0,1
Matthew Tracy,0,0,99,180,0,139.5,2
Brett Marshall,270,0,92,292,0,218.0,3
James Pazos,0,0,0,146,0,146.0,1
Arquimedes Caminero,86,0,91,0,0,88.5,2
Braden Tullis,0,0,100,0,0,100.0,1
Jon Velasquez,0,0,84,0,0,84.0,1
Brooks Pounders,0,0,92,192,0,142.0,2
Manuel Corpas,137,0,75,0,0,106.0,2
Kevin Chapman,0,0,87,146,0,116.5,2
Cameron Roth,0,0,79,0,0,79.0,1
Steve Delabar,214,188,134,209,223,193.6,5
Leroy Hunt,0,0,55,0,0,55.0,1
Ryan Garton,0,0,0,161,0,161.0,1
Enderson Franco,0,0,84,82,0,83.0,2
Andrew Chafin,311,0,104,239,0,218.0,3
Bobby Lafromboise,128,0,82,200,0,136.66666666666666,3
Jacob Shadle,0,0,0,36,0,36.0,1
Trey Mcnutt,156,0,110,213,0,159.66666666666666,3
Charly Bashara,0,0,89,0,0,89.0,1
Jake Thompson,0,0,84,241,0,162.5,2
Victor Araujo,0,0,92,100,0,96.0,2
Mark Willinsky,0,0,58,0,0,58.0,1
Kyler Newby,157,0,123,187,0,155.66666666666666,3
Adam Wainwright,503,624,516,0,561,551.0,4
Matt Herges,0,0,76,0,0,76.0,1
Nathan Striz,0,0,95,77,0,86.0,2
Jonathan Aro,0,0,0,61,0,61.0,1
Lance Janke,0,0,87,0,0,87.0,1
Brad Ziegler,146,0,147,148,138,144.75,4
Dean Weaver,0,0,73,87,0,80.0,2
Matthew Bischoff,0,0,106,0,0,106.0,1
Tyler Melling,0,0,89,161,0,125.0,2
Tanner Scheppers,134,0,103,149,136,130.5,4
Thomas Eager,0,0,58,0,0,58.0,1
Joe Colon,0,0,84,191,0,137.5,2
Josh Romanski,0,0,76,144,0,110.0,2
Clint Everts,0,0,61,0,0,61.0,1
Franklin Morales,175,0,270,182,221,212.0,4
Erik Hamren,0,0,88,168,0,128.0,2
Yhency Brazoban,0,0,84,93,0,88.5,2
Tony Sipp,167,0,94,151,163,143.75,4
Marino Salas,0,0,0,146,0,146.0,1
Shane Greene,0,0,93,218,0,155.5,2
Daniel Calhoun,0,0,73,0,0,73.0,1
Yoel Hernandez,0,0,0,87,0,87.0,1
Abraham Espinosa,0,0,94,74,0,84.0,2
Derrick Loop,0,0,61,0,0,61.0,1
Scott Elarton,151,0,73,0,0,112.0,2
Louis Head,0,0,57,0,0,57.0,1
Francisco Felix,0,0,100,0,0,100.0,1
Sergio Espinosa,0,0,57,147,0,102.0,2
Jameson Taillon,246,0,249,269,0,254.66666666666666,3
Craig Muschko,0,0,97,0,0,97.0,1
William Princivil,0,0,68,111,0,89.5,2
Francellis Montas,0,0,143,83,0,113.0,2
Heath Nichols,0,0,86,184,0,135.0,2
Justin Edwards,0,0,80,0,0,80.0,1
Brett Mooneyham,0,0,134,0,0,134.0,1
Jake Wild,0,0,90,0,0,90.0,1
Chuck James,0,0,82,0,0,82.0,1
Bobby Lucas,0,0,64,67,0,65.5,2
Josh Spence,145,0,82,145,0,124.0,3
Ryan Shopshire,0,0,94,0,0,94.0,1
Randy Wolf,310,0,93,422,0,275.0,3
Cole St. Clair,0,0,76,161,0,118.5,2
