Name,Zips,Fans,Steamer,Oliver,Rotochamp,Average,Total
Christian Quintero,0,0,68.0,0,0,68.0,1
Shane Opitz,0,0,49.0,206.0,0,127.5,2
Chris Hopkins,0,0,59.0,0,0,59.0,1
Jordan Akins,0,0,38.0,182.0,0,110.0,2
Jae Yun Kim,0,0,49.5,0,0,49.5,1
Jair Morelos,0,0,54.0,182.0,0,118.0,2
Tsuyoshi Nishioka,365.5,0,66.0,347.0,0,259.5,3
Mike Nickeas,160.0,0,63.0,254.0,0,159.0,3
Rowan Wick,0,0,0,138.0,0,138.0,1
Taylor Motter,0,0,55.0,326.5,0,190.75,2
Preston Beck,0,0,51.5,316.0,0,183.75,2
Gabriel Rosa,0,0,0,145.5,0,145.5,1
Kyle Rose,0,0,54.0,0,0,54.0,1
John Silviano,0,0,0,165.0,0,165.0,1
James Brooks,0,0,0,236.0,0,236.0,1
Cristian Moronta,0,0,0,146.0,0,146.0,1
Kelvin Encarnacion,0,0,52.5,0,0,52.5,1
Chase Austin,0,0,60.0,0,0,60.0,1
Josh Willingham,454.0,545.5,439.5,484.0,550.0,494.6,5
J.T. Watkins,0,0,0,153.5,0,153.5,1
Jay Payton,0,0,0,323.5,0,323.5,1
Mario Gonzalez,0,0,52.5,0,0,52.5,1
Danny Arribas,0,0,48.5,0,0,48.5,1
Julian Laurean,0,0,57.0,0,0,57.0,1
Juan Nunez,0,0,60.5,0,0,60.5,1
Brad Zapenas,0,0,55.0,249.5,0,152.25,2
Ramon Torres,0,0,54.5,268.0,0,161.25,2
Thomas Mittelstaedt,0,0,67.0,343.5,0,205.25,2
Roberto Saucedo,0,0,66.0,0,0,66.0,1
Dayton Buller,0,0,56.5,178.0,0,117.25,2
Blair Springfield,0,0,48.5,0,0,48.5,1
Joe Becker,0,0,66.5,202.0,0,134.25,2
Luis Jimenez,459.5,0,85.5,494.0,0,346.3333333333333,3
Carlos Valdez,0,0,41.5,0,0,41.5,1
Felix Gonzalez,0,0,42.5,0,0,42.5,1
John Hester,193.5,0,67.0,256.0,0,172.16666666666666,3
Riccio Torrez,0,0,53.0,320.0,0,186.5,2
Eduardo Arredondo,0,0,72.0,0,0,72.0,1
Hideki Matsui,207.5,0,71.0,308.0,0,195.5,3
Gary Apelian,0,0,52.0,215.0,0,133.5,2
Kentrell Dewitt,0,0,36.5,0,0,36.5,1
Robel Garcia,0,0,44.0,218.5,0,131.25,2
Cliff Pennington,433.5,385.0,291.0,408.5,433.0,390.2,5
David Vidal,418.5,0,69.5,334.5,0,274.1666666666667,3
Brian Dozier,456.5,0,148.0,441.5,100.0,286.5,4
Spencer Edwards,0,0,0,149.0,0,149.0,1
Collin Cowgill,390.5,317.0,179.5,405.0,94.0,277.2,5
Leonard Davis,0,0,68.5,0,0,68.5,1
Michael Johnson,0,0,45.0,240.0,0,142.5,2
Audry Perez,0,0,69.5,265.0,0,167.25,2
Emmanuel Rangel,0,0,57.0,0,0,57.0,1
Carlos Quentin,409.0,519.0,392.5,445.5,454.0,444.0,5
Matt Cline,0,0,64.0,0,0,64.0,1
Chase Davidson,0,0,0,197.0,0,197.0,1
C.J. Retherford,0,0,70.5,0,0,70.5,1
Juan Canizalez,0,0,62.5,0,0,62.5,1
Jordan Dean,0,0,45.5,190.0,0,117.75,2
Jose Martinez,0,0,41.0,310.5,0,175.75,2
Asdrubal Cabrera,556.0,558.0,513.0,525.5,574.0,545.3,5
Aaron Shipman,0,0,48.0,221.5,0,134.75,2
Sergio Miranda,0,0,71.0,0,0,71.0,1
Yan Olmo,0,0,44.0,250.5,0,147.25,2
Bryan Haar,0,0,0,222.5,0,222.5,1
Alexander Perdomo,0,0,47.5,145.0,0,96.25,2
Lars Anderson,394.5,0,73.5,416.0,0,294.6666666666667,3
Alberto Robles,0,0,61.0,289.0,0,175.0,2
Trevor Brown,0,0,49.0,189.5,0,119.25,2
Ali Solis,184.0,0,64.0,287.5,0,178.5,3
Nate Schierholtz,255.5,394.0,312.5,330.5,356.0,329.7,5
Daniel Brock,0,0,48.5,0,0,48.5,1
Jeremy Baltz,0,0,52.0,383.5,0,217.75,2
Seth Moranda,0,0,0,141.0,0,141.0,1
Jimmy Rider,0,0,0,185.5,0,185.5,1
Adam Loewen,255.0,0,0,365.0,0,310.0,2
Yefri Perez,0,0,51.0,0,0,51.0,1
Logan Watkins,451.5,0,69.5,392.5,0,304.5,3
Jerry Gil,0,0,0,286.0,0,286.0,1
Brandon Meredith,0,0,55.5,296.5,0,176.0,2
Ryan Mathews,0,0,0,169.0,0,169.0,1
Elieser Bonne,0,0,58.0,291.5,0,174.75,2
Michael Spina,0,0,61.5,0,0,61.5,1
Jarrad Page,0,0,65.0,200.0,0,132.5,2
Brady Shoemaker,0,0,71.5,394.0,0,232.75,2
Mikie Mahtook,385.0,0,74.5,379.5,0,279.6666666666667,3
Rosell Herrera,0,0,53.5,275.5,0,164.5,2
Peter Lavin,0,0,61.5,348.5,0,205.0,2
Manny Machado,508.5,505.0,405.0,378.5,466.5,452.7,5
Carl Crawford,390.5,530.0,419.5,391.0,446.5,435.5,5
Angel Berroa,0,0,65.0,0,0,65.0,1
Manny Mayorson,229.5,0,73.5,0,0,151.5,2
Miguel Beltran,0,0,0,196.0,0,196.0,1
Curt Casali,0,0,67.0,317.0,0,192.0,2
Leon Landry,422.0,0,66.5,420.5,0,303.0,3
Martin Medina,0,0,47.5,269.5,0,158.5,2
Ben Harrison,0,0,69.0,0,0,69.0,1
Cory Harrilchak,0,0,69.0,0,0,69.0,1
Edgard Munoz,0,0,53.0,201.5,0,127.25,2
Rhyne Hughes,272.5,0,71.0,0,0,171.75,2
Rebel Ridling,0,0,68.0,0,0,68.0,1
Phil Wunderlich,0,0,62.0,0,0,62.0,1
Steve Bumbry,0,0,61.5,313.0,0,187.25,2
Yeison Asencio,0,0,59.5,331.5,0,195.5,2
Paul Phillips,105.5,0,64.5,0,0,85.0,2
Denard Span,475.0,556.0,465.0,434.5,535.5,493.2,5
Chris Owings,411.5,0,70.5,357.0,0,279.6666666666667,3
Danny Muno,0,0,61.0,368.5,0,214.75,2
Bryant Hernandez,0,0,54.0,0,0,54.0,1
Alejandro Ortiz,0,0,67.0,0,0,67.0,1
Bryan De La Rosa,0,0,0,109.5,0,109.5,1
Jordany Valdespin,361.0,308.5,188.5,454.0,229.0,308.2,5
Mauricio Ramos,0,0,48.0,256.5,0,152.25,2
Jared Hoying,0,0,73.0,374.0,0,223.5,2
Brett Vertigan,0,0,54.5,410.5,0,232.5,2
Ross Heffley,0,0,57.5,344.0,0,200.75,2
Adan Velazquez,0,0,53.5,0,0,53.5,1
Albert Almora,0,0,0,190.5,0,190.5,1
Alex Cora,0,0,66.0,266.5,0,166.25,2
Smaily Borgues,0,0,56.5,0,0,56.5,1
James Cesario,0,0,75.5,295.0,0,185.25,2
Luis Barahona,0,0,47.0,0,0,47.0,1
Xavier Batista,0,0,40.0,193.0,0,116.5,2
Efrain Nunez,0,0,48.5,0,0,48.5,1
Jesus Lopez,0,0,66.5,0,0,66.5,1
